5J9,E16000041,Darlington PCT,188,79,109,,178,154,201,,,,
5KF,E16000050,Gateshead PCT,906,364,542,,452,371,530,,,,
5D9,E16000019,Hartlepool PCT,389,131,258,,422,293,545,,,,
5KM,E16000053,Middlesbrough PCT,409,155,254,,296,229,359,,,,
5D7,E16000017,Newcastle PCT,"1,732",678,"1,054",,621,485,757,,,,
5D8,E16000018,North Tyneside PCT,"2,499",907,"1,592",,"1,242",934,"1,529",,,,
TAC,E17000001,Northumberland Care Trust,"4,151","1,561","2,590",,"1,312","1,012","1,598",,,,
5QR,E16000146,Redcar & Cleveland PCT,400,130,270,,296,198,388,,,,
5KG,E16000051,South Tyneside PCT,577,172,405,,389,240,529,,,,
[5E1],E16000020,Stockton-On-Tees Teaching PCT,809,307,502,,422,326,514,,,,
5KL,E16000052,Sunderland Teaching PCT,"1,314",505,809,,477,377,572,,,,
,,,,,,,,,,,,,
Q31,E18000002,North West ,"39,000","13,788","25,211",,553,398,703,,,,
5HG,E16000032,"Ashton, Leigh & Wigan PCT","1,786",464,"1,322",,561,294,826,,,,
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,757,238,519,,513,323,701,,,,
5HP,E16000033,Blackpool PCT,522,220,302,,367,315,418,,,,
5HQ,E16000148,Bolton PCT,980,436,544,,353,318,388,,,,
5JX,E16000043,Bury PCT,756,333,423,,408,367,447,,,,
5NP,E16000095,Central & Eastern Cheshire PCT,"2,190",492,"1,698",,472,216,718,,,,
5NG,E16000088,Central Lancashire PCT,"4,401","1,513","2,888",,942,654,"1,224",,,,
5NE,E16000086,Cumbria PCT,"1,701",591,"1,110",,340,240,437,,,,
5NH,E16000089,East Lancashire PCT,"1,855",647,"1,208",,485,344,622,,,,
5NM,E16000093,Halton & St. Helens PCT,"2,161",677,"1,484",,718,459,966,,,,
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",883,358,525,,417,345,486,,,,
5J4,E16000038,Knowsley PCT,"1,297",398,899,,889,575,"1,173",,,,
5NL,E16000092,Liverpool PCT,"3,612","1,188","2,424",,776,516,"1,031",,,,
5NT,E16000149,Manchester PCT,"1,572",637,935,,313,252,374,,,,
5NF,E16000087,North Lancashire PCT,"1,096",419,677,,341,269,408,,,,
5J5,E16000039,Oldham PCT,705,325,380,,313,295,331,,,,
5F5,E16000025,Salford PCT,"2,148",892,"1,256",,916,761,"1,071",,,,
5NJ,E16000090,Sefton PCT,"2,379",830,"1,549",,868,632,"1,086",,,,
5F7,E16000026,Stockport PCT,"1,475",591,884,,521,427,610,,,,
5LH,E16000062,Tameside & Glossop PCT,"1,771",525,"1,246",,700,423,967,,,,
5NR,E16000097,Trafford PCT,613,260,353,,270,234,304,,,,
5J2,E16000037,Warrington PCT,741,280,461,,366,279,451,,,,
5NN,E16000094,Western Cheshire PCT,"1,226",423,803,,519,369,662,,,,
5NK,E16000091,Wirral PCT,"2,548","1,092","1,456",,797,710,877,,,,
,,,,,,,,,,,,,
Q32,E18000003,Yorkshire and the Humber ,"31,015","10,335","20,680",,586,397,770,,,,
5JE,E16000042,Barnsley PCT,"1,142",462,680,,493,405,577,,,,
5NY,E16000102,Bradford & Airedale PCT,"5,076","1,509","3,567",,970,586,"1,343",,,,
5J6,E16000040,Calderdale PCT,880,305,575,,431,306,551,,,,
5N5,E16000078,Doncaster PCT,"8,206","2,979","5,227",,"2,713","1,997","3,410",,,,
5NW,E16000100,East Riding of Yorkshire PCT,"1,041",412,629,,311,252,368,,,,
5NX,E16000101,Hull PCT,642,240,402,,251,187,315,,,,
5N2,E16000075,Kirklees PCT,"1,320",420,900,,312,201,420,,,,
5N1,E16000074,Leeds PCT,"2,711",694,"2,017",,361,189,527,,,,
TAN,E17000005,North East Lincolnshire PCT,576,241,335,,357,305,408,,,,
5EF,E16000021,North Lincolnshire PCT,465,178,287,,284,221,346,,,,
5NV,E16000099,North Yorkshire & York PCT,"2,567","1,084","1,483",,321,276,365,,,,
5H8,E16000031,Rotherham PCT,"1,928",655,"1,273",,748,518,970,,,,
5N4,E16000077,Sheffield PCT,"3,555",768,"2,787",,644,282,998,,,,
5N3,E16000076,Wakefield District PCT,898,385,513,,275,240,309,,,,
,,,,,,,,,,,,,
Q33,E18000004,East Midlands,"22,362","7,091","15,271",,493,317,664,,,,
5ET,E16000023,Bassetlaw PCT,"3,252","1,200","2,052",,"2,878","2,140","3,605",,,,
5N7,E16000080,Derby City PCT,"2,869",208,"2,661",,"1,152",169,"2,115",,,,
5N6,E16000079,Derbyshire County PCT,"3,836",979,"2,857",,520,270,762,,,,
5PC,E16000113,Leicester City PCT,732,292,440,,222,179,264,,,,
5PA,E16000112,Leicestershire County & Rutland PCT,"1,524",585,939,,221,172,270,,,,
5N9,E16000082,Lincolnshire PCT,"4,234","1,542","2,692",,590,441,732,,,,
5PD,E16000114,Northampton PCT,"1,331",563,768,,192,164,218,,,,
5EM,E16000022,Nottingham City PCT,"1,106",454,652,,364,296,433,,,,
5N8,E16000081,Nottinghamshire County PCT,"3,310","1,230","2,080",,491,372,607,,,,
,,,,,,,,,,,,,
Q34,E18000005,West Midlands ,"34,721","10,948","23,771",,619,396,837,,,,
5PG,E16000117,Birmingham East & North PCT,"1,662",462,"1,200",,391,221,554,,,,
5MD,E16000070,Coventry Teaching PCT,"2,981",648,"2,333",,941,411,"1,467",,,,
5PE,E16000115,Dudley PCT,"2,626",865,"1,761",,838,562,"1,105",,,,
5MX,E16000073,Heart of Birmingham Teaching PCT,"2,419",617,"1,802",,822,418,"1,229",,,,
5CN,E16000015,Herefordshire PCT,497,217,280,,271,240,300,,,,
5PH,E16000118,North Staffordshire PCT,515,201,314,,242,191,291,,,,
5PF,E16000116,Sandwell PCT,"2,944",863,"2,081",,953,567,"1,326",,,,
5M2,E16000065,Shropshire County PCT,"2,125",803,"1,322",,692,527,854,,,,
5QW,E17000004,Solihull PCT ,504,165,339,,244,164,319,,,,
5M1,E16000064,South Birmingham PCT,"2,455",567,"1,888",,693,329,"1,037",,,,
5PK,E16000120,South Staffordshire PCT,"3,063","1,127","1,936",,487,362,611,,,,
5PJ,E16000119,Stoke on Trent PCT,740,254,486,,288,198,377,,,,
5MK,E16000071,Telford & Wrekin PCT,813,275,538,,487,333,639,,,,
5M3,E16000066,Walsall Teaching PCT,"2,297",882,"1,415",,852,666,"1,032",,,,
5PM,E16000122,Warwickshire PCT,"2,265",724,"1,541",,414,269,556,,,,
5MV,E16000072,Wolverhampton City PCT,"3,706","1,278","2,428",,"1,483","1,033","1,924",,,,
5PL,E16000121,Worcestershire PCT,"3,107","1,000","2,107",,548,359,732,,,,
,,,,,,,,,,,,,
Q35,E18000006,East of England ,"32,540","12,327","20,211",,555,427,679,,,,
5P2,E16000104,Bedfordshire PCT,"1,649",722,927,,399,353,443,,,,
5PP,E16000124,Cambridgeshire PCT,"3,022","1,395","1,627",,486,449,522,,,,
5PR,E16000126,Great Yarmouth & Waveney PCT,"1,736",708,"1,028",,816,682,944,,,,
5QV,E16000150,Hertfordshire PCT,"8,516","2,986","5,530",,760,544,969,,,,
5GC,E16000029,Luton PCT,"1,327",443,884,,652,433,872,,,,
5PX,E16000130,Mid Essex PCT,"1,007",338,669,,268,183,351,,,,
5PQ,E16000125,Norfolk PCT,"3,888","1,462","2,426",,510,392,624,,,,
5PW,E16000129,North East Essex PCT,"1,013",359,654,,325,236,409,,,,
5PN,E16000123,Peterborough PCT,"1,441",353,"1,088",,781,386,"1,169",,,,
5P1,E16000103,South East Essex PCT,"1,241",630,611,,359,373,346,,,,
5PY,E16000131,South West Essex PCT,"3,140","1,077","2,063",,771,542,990,,,,
5PT,E16000127,Suffolk PCT,"3,084","1,297","1,787",,502,425,577,,,,
5PV,E16000128,West Essex PCT,"1,474",557,917,,509,395,617,,,,
,,,,,,,,,,,,,
Q36,E18000007,London ,"33,265","11,625","21,633",,405,287,521,,,,
5C2,E16000009,Barking & Dagenham PCT,747,201,546,,399,221,568,,,,
5A9,E16000006,Barnet PCT,"1,244",476,768,,348,274,417,,,,
TAK,E17000002,Bexley Care Trust,929,346,583,,399,309,483,,,,
5K5,E16000045,Brent Teaching PCT,"2,971",977,"1,994",,951,621,"1,287",,,,
5A7,E16000004,Bromley PCT,"1,016",426,590,,327,286,366,,,,
5K7,E16000047,Camden PCT,644,241,403,,293,223,360,,,,
5C3,E16000010,City & Hackney Teaching PCT,966,345,621,,379,272,486,,,,
5K9,E16000049,Croydon PCT,"1,121",381,740,,307,215,394,,,,
5HX,E16000035,Ealing PCT,"1,480",543,937,,436,320,553,,,,
5C1,E16000008,Enfield PCT,"1,245",485,760,,397,320,468,,,,
5A8,E16000005,Greenwich Teaching PCT,"1,119",344,775,,438,271,603,,,,
5H1,E16000030,Hammersmith & Fulham PCT,571,212,359,,313,238,385,,,,
5C9,E16000013,Haringey Teaching PCT,"1,050",332,718,,411,262,558,,,,
5K6,E16000046,Harrow PCT,"2,469",888,"1,581",,"1,027",747,"1,300",,,,
5A4,E16000002,Havering PCT,827,351,476,,348,306,386,,,,
5AT,E16000007,Hillingdon PCT,"1,529",470,"1,059",,555,344,763,,,,
5HY,E16000036,Hounslow PCT,670,255,415,,263,199,327,,,,
5K8,E16000048,Islington PCT,"1,022",387,635,,495,380,608,,,,
5LA,E16000056,Kensington & Chelsea PCT,332,132,200,,210,169,249,,,,
5A5,E16000003,Kingston PCT,445,177,268,,277,226,327,,,,
5LD,E16000058,Lambeth PCT,819,260,559,,269,171,366,,,,
5LF,E16000060,Lewisham PCT,663,228,435,,239,168,308,,,,
5C5,E16000012,Newham PCT,"1,383",398,985,,445,246,664,,,,
5NA,E16000083,Redbridge PCT,"1,213",434,779,,431,311,549,,,,
5M6,E16000067,Richmond & Twickenham PCT,338,162,176,,180,177,183,,,,
5LE,E16000059,Southwark PCT,887,332,555,,307,232,381,,,,
5M7,E16000068,Sutton & Merton PCT,"1,429",448,981,,365,233,491,,,,
5C4,E16000011,Tower Hamlets PCT,575,215,360,,225,163,291,,,,
5NC,E16000084,Waltham Forest PCT,"2,236",657,"1,579",,861,505,"1,217",,,,
5LG,E16000061,Wandsworth PCT,712,262,450,,231,176,284,,,,
5LC,E16000057,Westminster PCT,606,260,346,,276,232,322,,,,
,,,,,,,,,,,,,
Q37,E18000008,South East Coast ,"14,486","5,453","9,013",,324,249,394,,,,
5LQ,E16000063,Brighton & Hove City PCT,"1,270",494,776,,465,363,567,,,,
5P7,E16000109,East Sussex Downs & Weald PCT,"1,458",592,866,,424,357,486,,,,
5QA,E16000132,Eastern & Coastal Kent PCT,"1,888",724,"1,164",,249,196,299,,,,
5P8,E16000110,Hastings & Rother PCT,"1,106",441,665,,603,500,699,,,,
5L3,E16000055,Medway PCT,883,358,525,,333,273,393,,,,
5P5,E16000107,Surrey PCT,"2,873",855,"2,018",,256,155,352,,,,
5P9,E16000111,West Kent PCT,"1,865",878,987,,264,253,274,,,,
5P6,E16000108,West Sussex PCT,"3,115","1,108","2,007",,385,283,481,,,,
,,,,,,,,,,,,,
Q38,E18000009,South Central ,"16,147","5,469","10,677",,387,265,505,,,,
5QG,E16000137,Berkshire East PCT,"2,201",765,"1,436",,535,375,693,,,,
5QF,E16000136,Berkshire West PCT,"1,701",565,"1,136",,366,245,487,,,,
5QD,E16000134,Buckinghamshire PCT,"2,314","1,043","1,271",,444,407,480,,,,
5QC,E16000133,Hampshire PCT,"4,404","1,412","2,992",,333,218,444,,,,
5QT,E16000147,Isle of Wight PCT,250,101,149,,181,150,210,,,,
5CQ,E16000016,Milton Keynes PCT,970,339,631,,380,268,489,,,,
5QE,E16000135,Oxfordshire PCT,"1,659",458,"1,201",,264,147,378,,,,
5FE,E16000027,Portsmouth City Teaching PCT,806,317,489,,392,305,481,,,,
5L1,E16000054,Southampton City PCT,"1,837",466,"1,371",,779,391,"1,175",,,,
,,,,,,,,,,,,,
Q39,E18000010,South West ,"27,720","9,983","17,735",,523,384,656,,,,
5FL,E16000028,Bath & North East Somerset PCT,590,194,396,,336,226,442,,,,
5QN,E16000143,Bournemouth & Poole PCT,572,201,371,,173,123,222,,,,
5QJ,E16000139,Bristol PCT,"1,777",679,"1,098",,415,318,511,,,,
5QP,E16000144,Cornwall & Isles Of Scilly PCT,"5,055","1,906","3,149",,943,734,"1,139",,,,
5QQ,E16000145,Devon PCT,"4,347","1,780","2,567",,581,490,667,,,,
5QM,E16000142,Dorset PCT,922,383,539,,223,190,254,,,,
5QH,E16000138,Gloucestershire PCT,"1,402",614,788,,234,209,258,,,,
5M8,E16000069,North Somerset PCT,827,264,563,,407,267,540,,,,
5F1,E16000024,Plymouth Teaching PCT,"4,796","1,536","3,260",,"1,869","1,207","2,520",,,,
5QL,E16000141,Somerset PCT,"3,199",724,"2,475",,602,279,909,,,,
5A3,E16000001,South Gloucestershire PCT,"1,026",449,577,,389,344,435,,,,
5K3,E16000044,Swindon PCT,899,397,502,,418,369,468,,,,
TAL,E17000003,Torbay Care Trust,625,260,365,,476,411,537,,,,
5QK,E16000140,Wiltshire PCT,"1,693",602,"1,091",,357,257,454,,,,
,,,,,,,,,,,,,
"1.  A finished admission episode (FAE) is the first period of inpatient care under one consultant within one healthcare provider. FAEs are counted against the year in which the admission episode finishes. Admissions do not represent the number of inpatients, as a person may have more than one admission within the year.",,,,,,,,,,,,,
"2.  The primary diagnosis is the first of up to 20 (14 from 2002/03 to 2006/07 and 7 prior to 2002/03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital. As well as the primary diagnosis, there are up to 19 (13 from 2002/03 to 2006/07 and 6 prior to 2002/03) secondary diagnosis fields in Hospital Episode Statistics (HES) that show other diagnoses relevant to the episode of care. These figures represent the number of episodes where the diagnosis was recorded in any of the 20 primary and secondary diagnosis fields in the record. Each episode is only counted once in each count, even if the diagnosis is recorded in more than one diagnosis field of the record.",,,,,,,,,,,,,
3.  ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
4.  Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"5.  Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
"6.  Office for National Statistics (ONS) estimated resident population mid-2011 figures have been used to calculate admissions per 100,000 population.  Information on ONS population data is available at: ",,,,,,,,,,,,,
http://www.ons.gov.uk/ons/rel/pop-estimate/population-estimates-for-england-and-wales/mid-2011--2011-census-based-/index.html,,,,,,,,,,,,,
7. Totals include admissions where the gender was unknown.,,,,,,,,,,,,,
"8. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.7 Finished Consultant Episodes with a primary diagnosis of obesity and a main or secondary procedure of 'Bariatric Surgery' by gender, 2000/01 to 2011/12",,,,,Back to contents,,,,,,,,
,,,,,,,,,,,,,
England,,,Numbers,,,,,,,,,,
,Total,Male,Female,,,,,,,,,,
,,,,,,,,,,,,,
OPCS-4.2 procedure codes,,,,,,,,,,,,,
2000/01,261,46,215,,,,,,,,,,
2001/02,281,38,241,,,,,,,,,,
2002/03,345,65,280,,,,,,,,,,
2003/04,474,96,378,,,,,,,,,,
2004/05,744,137,603,,,,,,,,,,
2005/06,"1,038",200,808,,,,,,,,,,
,,,,,,,,,,,,,
2006/07 (OPCS-4.3 procedure codes),"1,951",381,"1,562",,,,,,,,,,
2007/08 (OPCS-4.4 procedure codes),"2,724",598,"2,126",,,,,,,,,,
2008/09 (OPCS-4.4 procedure codes),"4,221",969,"3,251",,,,,,,,,,
2009/10 (OPCS-4.5 procedure codes),"7,214","1,450","5,762",,,,,,,,,,
2010/11 (OPCS-4.5 procedure codes),"8,087","1,771","6,315",,,,,,,,,,
2011/12 (OPCS-4.6 procedure codes),"8,794","2,081","6,711",,,,,,,,,,
,,,,,,,,,,,,,
"1. A finished consultant episode (FCE) is a continuous period of admitted patient care under one consultant within one healthcare provider. FCEs are counted against the year in which they end. Figures do not represent the number of different patients, as a person may have more than one episode of care within the same stay in hospital or in different stays in the same year.",,,,,,,,,,,,,
2. The primary diagnosis is the first of up to 20 (14 from 2002-03 to 2006-07 and 7 prior to 2002-03) diagnosis fields in the Hospital Episode Statistics (HES) data set and provides the main reason why the patient was admitted to hospital.,,,,,,,,,,,,,
3. ICD-10 Codes: E66 - Obesity.,,,,,,,,,,,,,
"4. These figures represent the number of episodes where the procedure (or intervention) was recorded in any of the 24 (12 from 2002/03 to 2006/07 and 4 prior to 2002/03) operative procedure fields in a Hospital Episode Statistics (HES) record. A record is only included once in each count, even if the procedure is recorded in more than one operative procedure field of the record. Please note that more procedures are carried out than episodes with a main or secondary procedure.  For example, patients under going a ‘cataract operation’ would tend to have at least two procedures – removal of the faulty lens and the fitting of a new one – counted in a single episode.",,,,,,,,,,,,,
"5. The term 'bariatric surgery' is often used to define a group of procedures that can be performed to facilitate weight loss although these procedures can be performed for conditions other than weight loss.  It includes stomach stapling, gastric bypasses and sleeve gastrectomy. The procedures for tables 7.7 and 7.8  show the defined range of procedures when a corresponding main diagnosis of Obesity (ICD10-E66) is also present. Definition of codes can be found in Appendix B.",,,,,,,,,,,,,
"6. All OPCS-4.2, OPCS-4.3, OPCS-4.4, OPCS-4.5 and OPCS-4.6 procedure codes used to define bariatric surgery are described in Appendix B.",,,,,,,,,,,,,
7. Figures have not been adjusted for shortfalls in data.,,,,,,,,,,,,,
"8. Counts include people resident in English Strategic Health Authorites (SHAs) only, including admissions where the SHA of residence was England but not further specified and excludes admissions where the SHA of residence was unknown.",,,,,,,,,,,,,
9. Total includes episodes where the gender was unknown.,,,,,,,,,,,,,
10. The quality and coverage of HES data have improved over time. These improvements in information submitted by the NHS have been particularly marked in the earlier years and need to be borne in mind when analysing time series. Some of the increase in figures for later years (particularly 2006-07 onwards) may be due to the improvement in the coverage of independent sector activity. Changes in NHS practice also need to be borne in mind when analysing time series.,,,,,,,,,,,,,
"11. Figures before 2009-10 were based on decisions as to which operative procedures constituted 'Bariatric Surgery' at that time. Changes to the figures over time need to be interpreted in the context of improvements in data quality and coverage (particularly in earlier years). In particular, improvements in how 'Bariatric surgery' is coded, with the change of codes in various versions of OPCS, means that had the previous years been based on OPCS-4.5, figures would have been slightly lower and affects earlier years more.",,,,,,,,,,,,,
"12. Practices vary between hospitals as to whether some bariatric procedures are carried out in outpatient or inpatient settings. This may particularly be the case for maintenance procedures. OPCS-4.5 introduced a specific code for maintenance of gastric band. OPCS-4.5 was introduced in 2009/10. Use of this code may have contributed to the increase seen from this year. The data presented in this report are for inpatients only, so may not reflect all hospital activity. This should be considered when interpreting the data as practice may vary over time and between regions. See Appendix A for further detail on HES.  ",,,,,,,,,,,,,
,,,,,,,,,,,,,
Source:,,,,,,,,,,,,,
"Hospital Episode Statistics (HES), Health and Social Care Information Centre.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Copyright © 2013. Health and Social Care Information Centre, Lifestyles Statistics. All rights reserved.",,,,,,,,,,,,,
,,,,,,,,,,,,,
"Table 7.8 Finished Consultant Episodes with a primary diagnosis of obesity and a main or secondary procedure of 'Bariatric Surgery' by Strategic Health Authority (SHA)  of residence, Primary Care Trust (PCT) of residence and gender, 2011/12",,,,,,,,,,,,Back to contents,
,,,,,,,,,,,,,
England,,,,,,,,,Numbers,,,,
,,,Finished Consultant Episodes,,,,"Finished Consultant Episodes per 100,000 of population",,,,,,
,,,Total,Male,Female,,Total,Male,Female,,,,
,,,,,,,,,,,,,
England,,,"8,794","2,081","6,711",,17,8,25,,,,
,,,,,,,,,,,,,
Q30,E18000001,North East,805,195,610,,31,15,46,,,,
5ND,E16000085,County Durham PCT,199,54,145,,39,21,55,,,,
5J9,E16000041,Darlington PCT,22,*,*,,21,*,*,,,,
5KF,E16000050,Gateshead PCT,51,15,36,,25,15,35,,,,
5D9,E16000019,Hartlepool PCT,29,7,22,,31,16,46,,,,
5KM,E16000053,Middlesbrough PCT,36,13,23,,26,19,33,,,,
5D7,E16000017,Newcastle PCT,48,11,37,,17,8,27,,,,
5D8,E16000018,North Tyneside PCT,58,12,46,,29,12,44,,,,
TAC,E17000001,Northumberland Care Trust,61,19,42,,19,12,26,,,,
5QR,E16000146,Redcar & Cleveland PCT,28,*,*,,21,*,*,,,,
5KG,E16000051,South Tyneside PCT,55,12,43,,37,17,56,,,,
[5E1],E16000020,Stockton-On-Tees Teaching PCT,83,19,64,,43,20,66,,,,
5KL,E16000052,Sunderland Teaching PCT,135,22,113,,49,16,80,,,,
,,,,,,,,,,,,,
Q31,E18000002,North West ,457,144,313,,6,4,9,,,,
5HG,E16000032,"Ashton, Leigh & Wigan PCT",*,*,*,,*,*,*,,,,
TAP,E17000006,Blackburn with Darwen Teaching Care Trust Plus,*,*,*,,*,*,*,,,,
5HP,E16000033,Blackpool PCT,6,*,*,,4,*,*,,,,
5HQ,E16000148,Bolton PCT,19,*,*,,7,*,*,,,,
5JX,E16000043,Bury PCT,31,10,21,,17,11,22,,,,
5NP,E16000095,Central & Eastern Cheshire PCT,11,*,*,,2,*,*,,,,
5NG,E16000088,Central Lancashire PCT,9,*,*,,2,*,*,,,,
5NE,E16000086,Cumbria PCT,12,*,*,,2,*,*,,,,
5NH,E16000089,East Lancashire PCT,14,*,*,,4,*,*,,,,
5NM,E16000093,Halton & St. Helens PCT,37,12,25,,12,8,16,,,,
5NQ,E16000096,"Heywood, Middleton & Rochdale PCT",13,7,6,,6,7,6,,,,
5J4,E16000038,Knowsley PCT,29,*,*,,20,*,*,,,,
5NL,E16000092,Liverpool PCT,48,14,34,,10,6,14,,,,
5NT,E16000149,Manchester PCT,37,12,25,,7,5,10,,,,
5NF,E16000087,North Lancashire PCT,*,*,*,,*,*,*,,,,
5J5,E16000039,Oldham PCT,10,*,*,,4,*,*,,,,
5F5,E16000025,Salford PCT,27,8,19,,12,7,16,,,,
5NJ,E16000090,Sefton PCT,30,12,18,,11,9,13,,,,
5F7,E16000026,Stockport PCT,*,*,*,,*,*,*,,,,
5LH,E16000062,Tameside & Glossop PCT,47,11,36,,19,9,28,,,,
5NR,E16000097,Trafford PCT,16,6,10,,7,5,9,,,,
5J2,E16000037,Warrington PCT,9,*,*,,4,*,*,,,,
5NN,E16000094,Western Cheshire PCT,25,10,15,,11,9,12,,,,
5NK,E16000091,Wirral PCT,28,11,17,,9,7,10,,,,
,,,,,,,,,,,,,
Q32,E18000003,Yorkshire and the Humber ,826,207,619,,16,8,23,,,,
5JE,E16000042,Barnsley PCT,82,25,57,,35,22,48,,,,
5NY,E16000102,Bradford & Airedale PCT,95,28,67,,18,11,25,,,,
5J6,E16000040,Calderdale PCT,*,*,*,,*,*,*,,,,
5N5,E16000078,Doncaster PCT,72,21,51,,24,14,33,,,,
5NW,E16000100,East Riding of Yorkshire PCT,18,7,11,,5,4,6,,,,
5NX,E16000101,Hull PCT,*,*,*,,*,*,*,,,,
5N2,E16000075,Kirklees PCT,27,10,17,,6,5,8,,,,
5N1,E16000074,Leeds PCT,115,21,94,,15,6,25,,,,
TAN,E17000005,North East Lincolnshire PCT,28,7,21,,17,9,26,,,,
5EF,E16000021,North Lincolnshire PCT,51,10,41,,31,12,49,,,,
5NV,E16000099,North Yorkshire & York PCT,101,28,73,,13,7,18,,,,
5H8,E16000031,Rotherham PCT,66,12,54,,26,9,41,,,,
5N4,E16000077,Sheffield PCT,53,12,41,,10,4,15,,,,
5N3,E16000076,Wakefield District PCT,99,23,76,,30,14,46,,,,
,,,,,,,,,,,,,
Q33,E18000004,East Midlands,"1,616",302,"1,314",,36,14,57,,,,
5ET,E16000023,Bassetlaw PCT,47,*,*,,42,*,*,,,,
5N7,E16000080,Derby City PCT,200,45,155,,80,37,123,,,,
5N6,E16000079,Derbyshire County PCT,345,43,302,,47,12,81,,,,
5PC,E16000113,Leicester City PCT,21,*,*,,6,*,*,,,,
5PA,E16000112,Leicestershire County & Rutland PCT,88,20,68,,13,6,20,,,,
5N9,E16000082,Lincolnshire PCT,324,61,263,,45,17,72,,,,
5PD,E16000114,Northampton PCT,89,27,62,,13,8,18,,,,
5EM,E16000022,Nottingham City PCT,138,25,113,,45,16,75,,,,
5N8,E16000081,Nottinghamshire County PCT,353,67,286,,52,20,83,,,,
,,,,,,,,,,,,,
Q34,E18000005,West Midlands ,749,203,546,,13,7,19,,,,
5PG,E16000117,Birmingham East & North PCT,40,12,28,,9,6,13,,,,
5MD,E16000070,Coventry Teaching PCT,33,*,*,,10,*,*,,,,
5PE,E16000115,Dudley PCT,68,27,41,,22,18,26,,,,
5MX,E16000073,Heart of Birmingham Teaching PCT,23,7,16,,8,5,11,,,,
5CN,E16000015,Herefordshire PCT,16,*,*,,9,*,*,,,,
5PH,E16000118,North Staffordshire PCT,35,11,24,,16,10,22,,,,
5PF,E16000116,Sandwell PCT,91,23,68,,29,15,43,,,,
5M2,E16000065,Shropshire County PCT,12,*,*,,4,*,*,,,,
5QW,E17000004,Solihull PCT ,6,*,*,,3,*,*,,,,
5M1,E16000064,South Birmingham PCT,43,11,32,,12,6,18,,,,
5PK,E16000120,South Staffordshire PCT,56,13,43,,9,4,14,,,,
5PJ,E16000119,Stoke on Trent PCT,82,19,63,,32,15,49,,,,
5MK,E16000071,Telford & Wrekin PCT,16,*,*,,10,*,*,,,,
5M3,E16000066,Walsall Teaching PCT,49,14,35,,18,11,26,,,,
5PM,E16000122,Warwickshire PCT,27,9,18,,5,3,6,,,,
5MV,E16000072,Wolverhampton City PCT,90,23,67,,36,19,53,,,,
5PL,E16000121,Worcestershire PCT,62,21,41,,11,8,14,,,,
,,,,,,,,,,,,,
Q35,E18000006,East of England ,465,157,308,,8,5,10,,,,
5P2,E16000104,Bedfordshire PCT,21,10,11,,5,5,5,,,,
5PP,E16000124,Cambridgeshire PCT,46,18,28,,7,6,9,,,,
5PR,E16000126,Great Yarmouth & Waveney PCT,13,*,*,,6,*,*,,,,
5QV,E16000150,Hertfordshire PCT,91,30,61,,8,5,11,,,,
5GC,E16000029,Luton PCT,16,6,10,,8,6,10,,,,
5PX,E16000130,Mid Essex PCT,15,7,8,,4,4,4,,,,
5PQ,E16000125,Norfolk PCT,55,20,35,,7,5,9,,,,
5PW,E16000129,North East Essex PCT,55,14,41,,18,9,26,,,,
5PN,E16000123,Peterborough PCT,21,8,13,,11,9,14,,,,
5P1,E16000103,South East Essex PCT,41,12,29,,12,7,16,,,,
5PY,E16000131,South West Essex PCT,27,10,17,,7,5,8,,,,
5PT,E16000127,Suffolk PCT,43,13,30,,7,4,10,,,,
5PV,E16000128,West Essex PCT,21,*,*,,7,*,*,,,,
,,,,,,,,,,,,,
Q36,E18000007,London ,"2,131",443,"1,688",,26,11,41,,,,
5C2,E16000009,Barking & Dagenham PCT,40,8,32,,21,9,33,,,,
5A9,E16000006,Barnet PCT,95,21,74,,27,12,40,,,,
TAK,E17000002,Bexley Care Trust,74,14,60,,32,12,50,,,,
5K5,E16000045,Brent Teaching PCT,74,14,60,,24,9,39,,,,
5A7,E16000004,Bromley PCT,99,27,72,,32,18,45,,,,
5K7,E16000047,Camden PCT,65,10,55,,30,9,49,,,,
