"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011" "county" "Homes" "Agencies" "Hospitals"
"King’s Lynn and West Norfolk" "147,451" 95.6 45 8.7 5.4 15.7 61.4 23 1 8.6 2.3 "103" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"North Norfolk" "101,499" 94.1 51 3 4.3 13.2 58 28.8 1.5 4.7 2.2 "105" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"Norwich" "132,512" 97.1 34 8.3 6.4 15.5 69.9 14.6 0.9 9.7 2.1 "3,396" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"South Norfolk" "124,012" 95.3 45 11.9 5.5 16.7 61.9 21.4 0.9 12.4 2.3 "137" "Norfolk" 58.2857142857143 20.2857142857143 4.28571428571429
"Babergh" "87,740" 96.1 45 5.1 5.1 16.9 61.8 21.4 1 7.2 2.3 "148" "Suffolk" 33 20.4285714285714 2.85714285714286
"Forest Heath" "59,748" 101.9 37 6.5 6.9 17.5 66.3 16.2 0.7 10.3 2.3 "158" "Suffolk" 33 20.4285714285714 2.85714285714286
"Ipswich" "133,384" 99.2 36 13.8 6.9 18.3 66.8 14.9 0.8 14.6 2.3 "3,384" "Suffolk" 33 20.4285714285714 2.85714285714286
"Mid Suffolk" "96,731" 98.2 44 11.2 5.4 17.1 62.8 20.1 0.9 12 2.4 "111" "Suffolk" 33 20.4285714285714 2.85714285714286
"St Edmundsbury" "111,008" 100.3 41 12.9 6 17.1 63.9 18.9 1 11.7 2.4 "169" "Suffolk" 33 20.4285714285714 2.85714285714286
"Suffolk Coastal" "124,298" 95.3 46 7.9 5 16.3 60.5 23.2 1.2 9.3 2.3 "139" "Suffolk" 33 20.4285714285714 2.85714285714286
"Waveney" "115,254" 94.6 45 2.4 5.4 16.1 60.1 23.9 1.3 3.8 2.2 "312" "Suffolk" 33 20.4285714285714 2.85714285714286
"City of London" "7,375" 124.6 39 -0.3 3.2 8 78 14 0.6 9.6 1.6 "2,540" "City of London" 0 3 2
"Barking and Dagenham" "185,911" 94.3 32 12.2 10 24.6 65 10.4 0.5 4 2.7 "5,149" "Barking and Dagenham" 29 47 2
"Barnet" "356,386" 94 35 11.5 7.4 19.6 67.1 13.3 0.8 7 2.6 "4,108" "Barnet" 117 75 7
"Bexley" "231,997" 92.8 39 6 6.5 19.1 64.9 16 0.7 2.9 2.5 "3,830" "Bexley" 43 32 4
"Brent" "311,215" 101.1 32 15.4 7.2 19 70.5 10.5 0.4 10.3 2.8 "7,199" "Brent" 85 45 7
"Bromley" "309,392" 92.4 40 4.5 6.5 18.3 64.8 16.8 0.9 3.9 2.3 "2,061" "Bromley" 72 42 9
"Camden" "220,338" 95.9 33 8.8 6 15.3 73.8 10.9 0.5 6 2.2 "10,112" "Camden" 22 27 13
"Croydon" "363,378" 94.2 35 8.4 7.7 20.4 67.4 12.2 0.6 4.3 2.5 "4,201" "Croydon" 167 75 10
"Ealing" "338,449" 99.9 33 10.1 7.5 19.2 70.1 10.7 0.5 5.2 2.7 "6,093" "Ealing" 70 47 5
"Enfield" "312,466" 93.1 34 12.7 7.8 21 66.5 12.4 0.6 8 2.6 "3,866" "Enfield" 121 58 10
"Greenwich" "254,557" 98.4 33 17 8.2 20.5 69.2 10.3 0.5 8.7 2.5 "5,378" "Greenwich" 53 31 6
"Hackney" "246,270" 98.2 30 18.9 7.8 19.6 73.3 7.1 0.3 18.2 2.4 "12,928" "Hackney" 33 24 3
"Hammersmith and Fulham" "182,493" 95 32 7.7 6.5 15.4 75.6 9 0.4 6 2.2 "11,129" "Hammersmith and Fulham" 15 21 4
"Haringey" "254,926" 98.1 32 15.2 7.1 19.3 72 8.8 0.3 10.8 2.5 "8,613" "Haringey" 64 34 6
"Harrow" "239,056" 97.5 36 13.8 6.7 18.8 67.1 14.1 0.7 6.7 2.8 "4,737" "Harrow" 82 41 4
"Havering" "237,232" 92.8 40 5.6 5.8 17.4 64.8 17.8 0.8 5.7 2.4 "2,112" "Havering" 74 38 4
"Hillingdon" "273,936" 98.3 35 11.5 7.2 19.5 67.6 12.8 0.6 3.3 2.7 "2,368" "Hillingdon" 62 31 7
"Hounslow" "253,957" 100.7 33 17.6 7.8 19.1 70.3 10.6 0.4 13 2.7 "4,537" "Hounslow" 45 43 2
"Islington" "206,125" 96.8 31 14.9 6 15 76.2 8.8 0.3 14.1 2.1 "13,874" "Islington" 29 19 3
"Kensington and Chelsea" "158,649" 97.2 36 -2.2 5.8 14.7 73.3 12 0.6 -0.6 2 "13,086" "Kensington and Chelsea" 16 16 8
"Kingston upon Thames" "160,060" 95.3 35 7.4 6.8 17.8 69.5 12.7 0.8 2.6 2.5 "4,296" "Kingston upon Thames" 51.5 14 4.5
"Kingston upon Thames" "160,060" 95.3 35 7.4 6.8 17.8 69.5 12.7 0.8 2.6 2.5 "4,296" "Kingston upon Thames" 25.5 10.5 2.5
"Lambeth" "303,086" 99.2 31 10.9 6.8 17.1 75.2 7.7 0.3 9.3 2.3 "11,305" "Lambeth" 66 25 4
"Lewisham" "275,885" 95.8 33 8.5 8 19.6 71 9.5 0.4 7.5 2.4 "7,849" "Lewisham" 70 40 12
"Merton" "199,693" 97.4 34 4.5 7.4 18.4 70 11.6 0.6 -0.3 2.5 "5,307" "Merton" 44 34 1
"Newham" "307,984" 108.6 29 23.5 8.2 21.4 71.9 6.7 0.2 10.3 3 "8,508" "Newham" 43 52 4
"Redbridge" "278,970" 98 34 15.3 7.8 21.2 66.8 12 0.6 6.6 2.8 "4,945" "Redbridge" 85 52 6
"Richmond upon Thames" "186,990" 95.1 38 7.3 7.5 18.7 67.8 13.5 0.8 5 2.3 "3,257" "Richmond upon Thames" 57 19 3
"Southwark" "288,283" 97.9 32 12.3 7.2 17.5 74.8 7.7 0.3 10.5 2.3 "9,988" "Southwark" 36 24 4
"Sutton" "190,146" 94.6 38 4.8 6.7 18.7 67 14.3 0.7 2.9 2.4 "4,337" "Sutton" 94 34 4
"Tower Hamlets" "254,096" 106.3 29 26.4 7.4 18.7 75.2 6.1 0.2 28.2 2.5 "12,845" "Tower Hamlets" 22 40 9
"Waltham Forest" "258,249" 99.8 32 16.3 8.1 20.2 69.9 9.9 0.5 7.6 2.6 "6,655" "Waltham Forest" 79 32 2
"Wandsworth" "306,995" 93.9 32 13 7.1 15.9 75.3 8.8 0.4 9.7 2.3 "8,960" "Wandsworth" 43 20 14
"Westminster" "219,396" 103.4 34 7.9 5.8 14.1 74.7 11.2 0.5 5.8 2 "10,211" "Westminster" 20 24 17
"Medway UA" "263,925" 98.3 37 5.7 6.5 18.9 67.1 14 0.6 6.2 2.4 "1,374" "Medway Towns" 87 31 3
"Bracknell Forest UA" "113,205" 98.3 37 3.2 7.1 19.3 68.2 12.5 0.6 6.7 2.4 "1,035" "Bracknell Forest" 19 13 2
"West Berkshire UA" "153,822" 98.5 40 6.5 6.5 18.9 65.8 15.4 0.7 9.4 2.4 "218" "West Berkshire" 57 35 4
"Reading UA" "155,698" 100.3 33 7.6 7.7 18.3 70.3 11.5 0.6 8.4 2.4 "3,854" "Reading" 57 41 7
"Slough UA" "140,205" 100 32 16.3 9.1 22.7 68.2 9.1 0.4 12.8 2.8 "4,308" "Slough" 24 24 2
"Windsor and Maidenhead UA" "144,560" 97.4 40 8.3 6.5 18.5 64.8 16.7 0.9 8.1 2.4 "736" "Windsor and Maidenhead" 45 18 6
"Wokingham UA" "154,380" 98.1 40 2.7 6.5 19 65.6 15.4 0.7 5.8 2.5 "863" "Wokingham" 67 22 1
"Milton Keynes UA" "248,821" 97.9 35 17 8 21 68 11.1 0.5 16 2.5 "806" "Milton Keynes" 65 47 7
"Brighton and Hove UA" "273,369" 99.2 35 9.4 5.5 15.3 71.7 13.1 0.8 6.6 2.2 "3,307" "Brighton and Hove" 121 37 8
"Portsmouth UA" "205,056" 101.3 34 9.1 6.6 17.3 69.3 13.4 0.8 8.2 2.3 "5,081" "Portsmouth" 52 22 4
"Southampton UA" "236,882" 101.7 32 7.9 6.5 16.4 70.6 13 0.7 8 2.3 "4,752" "Southampton" 70 36 7
"Isle of Wight UA" "138,265" 95.2 46 4 4.6 15.1 61 23.8 1.3 5.3 2.2 "364" "Isle of Wight" 98 27 5
"Aylesbury Vale" "174,137" 98.1 40 5 6.5 19 66 15 0.7 6.8 2.5 "193" "Buckinghamshire" 37 14.25 2.25
"Chiltern" "92,635" 94.7 44 3.9 5.9 19.1 61.5 19.4 0.9 5.6 2.5 "472" "Buckinghamshire" 37 14.25 2.25
"South Bucks" "66,867" 94.2 43 8 5.9 17.7 62.9 19.4 1 6.1 2.5 "473" "Buckinghamshire" 37 14.25 2.25
"Wycombe" "171,644" 97.2 39 5.9 6.5 19 65.1 15.8 0.7 6 2.5 "529" "Buckinghamshire" 37 14.25 2.25
"Eastbourne" "99,412" 91.7 43 10.7 5.4 15.7 61.9 22.4 1.6 9.8 2.2 "2,251" "East Sussex" 71.8 17.4 5
"Hastings" "90,254" 95.2 41 5.7 6.2 17.3 65.6 17.1 1 8.3 2.2 "3,036" "East Sussex" 71.8 17.4 5
"Lewes" "97,502" 94.5 45 5.8 5.2 16.2 61 22.7 1.3 5.5 2.3 "334" "East Sussex" 71.8 17.4 5
"Rother" "90,588" 90.4 50 6 4.4 14.6 57 28.4 2 7.6 2.2 "178" "East Sussex" 71.8 17.4 5
"Wealden" "148,915" 93.1 46 6.2 5 16.5 60.5 22.9 1.3 8.1 2.3 "179" "East Sussex" 71.8 17.4 5
"Basingstoke and Deane" "167,799" 98.1 39 9.7 6.8 18.9 66.7 14.4 0.6 11.8 2.4 "265" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"East Hampshire" "115,608" 94.7 44 5.7 5.4 17.3 63.4 19.3 1 7.4 2.4 "225" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Eastleigh" "125,199" 96.2 41 7.7 6.2 17.7 65.7 16.6 0.8 11 2.4 "1,570" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Fareham" "111,581" 95.9 44 3.1 5 16.2 63.4 20.4 0.9 5.9 2.4 "1,503" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Gosport" "82,622" 97.3 40 7.7 6.6 18.3 64.7 17.1 0.8 14.3 2.3 "3,267" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Hart" "91,033" 98.5 41 8.9 6.2 18.9 64.6 16.5 0.7 7.6 2.5 "423" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Havant" "120,684" 94.4 44 3.2 5.6 16.8 62.1 21.1 1 4.7 2.3 "2,179" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"New Forest" "176,462" 92.5 47 4.1 4.9 15.2 59.8 25 1.5 6.7 2.3 "234" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Rushmoor" "93,807" 99.4 36 3.2 7.2 18.9 68.9 12.2 0.6 3.8 2.5 "2,403" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Test Valley" "116,398" 95.6 43 5.8 5.8 17.5 64.1 18.4 0.9 8.2 2.4 "185" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Winchester" "116,595" 94.4 42 8.7 5.6 17.2 64.1 18.7 1 9 2.4 "176" "Hampshire" 51.6363636363636 19.3636363636364 2.54545454545455
"Ashford" "117,956" 94.2 40 14.5 6.6 19.5 63.6 16.9 0.8 13.8 2.4 "203" "Kent" 57.5833333333333 18.6666666666667 4
"Canterbury" "151,145" 92.5 39 11.6 5 15.5 65.7 18.8 1.1 8.5 2.3 "489" "Kent" 57.5833333333333 18.6666666666667 4
"Dartford" "97,365" 97.5 37 13.2 6.9 19.2 66.5 14.3 0.7 14.5 2.4 "1,338" "Kent" 57.5833333333333 18.6666666666667 4
"Dover" "111,674" 96.2 44 6.8 5.6 16.8 63 20.2 1 9.8 2.3 "354" "Kent" 57.5833333333333 18.6666666666667 4
"Gravesham" "101,720" 97.2 39 6.2 6.5 19.1 64.9 16 0.7 6.4 2.5 "1,027" "Kent" 57.5833333333333 18.6666666666667 4
"Maidstone" "155,143" 97.3 41 11.5 6.2 17.9 65 17.1 0.8 11.3 2.4 "394" "Kent" 57.5833333333333 18.6666666666667 4
"Sevenoaks" "114,893" 94.2 43 5.2 6.1 18.3 62.9 18.9 0.9 6.9 2.4 "311" "Kent" 57.5833333333333 18.6666666666667 4
"Shepway" "107,969" 96.9 43 12.1 5.6 16.6 62.7 20.8 1.2 15.6 2.2 "303" "Kent" 57.5833333333333 18.6666666666667 4
"Swale" "135,835" 97.8 40 10.3 6.4 18.8 64.6 16.7 0.7 13.4 2.4 "364" "Kent" 57.5833333333333 18.6666666666667 4
"Thanet" "134,186" 92.7 43 5.8 6 17.8 61 21.2 1.2 8.2 2.2 "1,299" "Kent" 57.5833333333333 18.6666666666667 4
"Tonbridge and Malling" "120,805" 96.1 41 12.1 6.2 19.3 63.8 16.9 0.7 12 2.5 "503" "Kent" 57.5833333333333 18.6666666666667 4
"Tunbridge Wells" "115,049" 96.5 40 10.6 6.4 19.1 64.3 16.6 1 9.7 2.4 "347" "Kent" 57.5833333333333 18.6666666666667 4
"Cherwell" "141,868" 97.7 39 7.5 6.9 18.8 65.9 15.3 0.7 7 2.4 "241" "Oxfordshire" 31.8 20.6 3
"Oxford" "151,906" 98.4 29 12.1 6.1 15.6 73.4 11 0.6 6.5 2.4 "3,331" "Oxfordshire" 31.8 20.6 3
"South Oxfordshire" "134,257" 96.7 42 4.6 6.1 18.1 63.8 18.2 0.9 4 2.4 "198" "Oxfordshire" 31.8 20.6 3
"Vale of White Horse" "120,988" 98.6 41 4.5 6.1 17.8 64.2 18 0.9 7.4 2.4 "209" "Oxfordshire" 31.8 20.6 3
"West Oxfordshire" "104,779" 96.5 42 9.5 6.1 17.3 64.3 18.4 0.9 10.9 2.4 "147" "Oxfordshire" 31.8 20.6 3
"Elmbridge" "130,875" 94.1 40 6.7 7.2 20.1 63.5 16.4 1 3.8 2.4 "1,377" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Epsom and Ewell" "75,102" 94.1 40 11.9 6.2 18.3 64.9 16.7 0.9 10.3 2.5 "2,204" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Guildford" "137,183" 98.1 38 5.7 5.9 16.8 67.6 15.6 0.9 3.8 2.4 "506" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Mole Valley" "85,375" 95.7 44 6.3 5.4 17.2 62.1 20.7 1.1 5.4 2.3 "330" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Reigate and Banstead" "137,835" 95.8 40 8.8 6.6 18.5 65 16.5 1 6.6 2.4 "1,067" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Runnymede" "80,510" 94.6 39 3.1 6 16.2 67.1 16.7 0.9 2.2 2.4 "1,032" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Spelthorne" "95,598" 96.9 41 5.8 6.3 17.1 65.4 17.4 0.8 4 2.4 "2,130" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Surrey Heath" "86,144" 99.1 41 7.3 6 18.3 65 16.7 0.7 4.8 2.5 "906" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Tandridge" "82,998" 93.7 43 4.7 5.9 18.1 63.4 18.5 1.1 4.2 2.4 "334" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Waverley" "121,572" 95.3 42 5.1 6 18.4 62 19.6 1.2 4.9 2.4 "352" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Woking" "99,198" 98.2 38 10.3 7.3 19 66 15 0.8 6.7 2.5 "1,560" "Surrey" 45.4545454545455 18.1818181818182 2.90909090909091
"Adur" "61,182" 93.2 44 2.5 5.8 16.1 62 22 1.1 3.7 2.2 "1,463" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Arun" "149,518" 91.2 47 6 4.9 14.6 59.1 26.3 1.6 5.9 2.2 "677" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Chichester" "113,794" 91.6 46 6.8 5 15.3 60.2 24.5 1.3 8.4 2.2 "145" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Crawley" "106,597" 97.8 35 6.2 7.6 19.5 67.9 12.6 0.6 6.8 2.5 "2,370" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Horsham" "131,301" 94.5 44 7.4 5.4 17.4 63.1 19.5 1 9.8 2.3 "248" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Mid Sussex" "139,860" 95.9 42 9.8 6 18.1 63.8 18.1 1.1 10.4 2.4 "419" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Worthing" "104,640" 92.9 42 7.1 6.1 16.7 62.7 20.6 1.5 6.9 2.2 "3,221" "West Sussex" 56.4285714285714 20.4285714285714 4.85714285714286
"Bath and North East Somerset UA" "176,016" 95.7 40 4 5.2 15.6 66.3 18.1 0.9 3.5 2.3 "509" "Bath and North East Somerset" 67 23 9
"Bristol, City of UA" "428,234" 99 33 9.8 6.9 17.3 69.6 13 0.7 10.8 2.3 "3,907" "Bristol" 131 60 13
"North Somerset UA" "202,566" 94.6 44 7.3 5.8 16.9 62 21 1.2 10.3 2.3 "542" "North Somerset" 129 38 8
"South Gloucestershire UA" "262,767" 98.5 40 6.8 6.1 17.7 65.4 16.9 0.7 8.6 2.4 "529" "South Gloucestershire" 92 46 5
"Plymouth UA" "256,384" 97.7 38 6.4 6 16.4 67.4 16.3 0.8 6.1 2.3 "3,214" "Plymouth" 115 46 9
"Torbay UA" "130,959" 93 46 0.7 5.1 15.3 61.1 23.6 1.4 1.7 2.2 "2,082" "Torbay" 109 28 8
"Bournemouth UA" "183,491" 99.2 38 12.2 5.6 14.5 67.9 17.6 1.3 14.4 2.2 "3,974" "Bournemouth" 117 34 5
"Poole UA" "147,645" 95.5 42 6.7 5.7 16.2 63.3 20.4 1.2 7.7 2.3 "2,280" "Poole" 57 36 5
"Swindon UA" "209,156" 100.1 38 16.1 6.7 18.5 67.7 13.8 0.6 17.8 2.4 "909" "Swindon" 60 29 6
"Cornwall UA" "532,273" 93.9 45 6.5 5.1 15.7 62.7 21.7 1 7.2 2.3 "150" "Cornwall" 269 101 27
"Isles of Scilly UA" "2,203" 100.1 46 4.9 4.8 14.7 62.3 23 1.5 -1.1 2.1 "135" "Isles of Scilly" 1 0 1
"Wiltshire UA" "470,981" 96.9 42 8.6 6 18 63.8 18.2 0.9 9.7 2.4 "145" "Wiltshire" 218 81 13
"East Devon" "132,457" 91.6 49 5.4 4.4 14.3 57.5 28.2 1.7 7.4 2.2 "163" "Devon" 50.625 18.75 6.125
"Exeter" "117,773" 94.5 35 5.9 5.7 15 69.5 15.5 0.9 4.8 2.3 "2,504" "Devon" 50.625 18.75 6.125
"Mid Devon" "77,750" 95.9 44 11.2 5.8 17.3 62.3 20.4 1 13 2.3 "85" "Devon" 50.625 18.75 6.125
"North Devon" "93,667" 94.7 45 6.8 5.4 16.1 61.7 22.2 1.2 8.1 2.3 "86" "Devon" 50.625 18.75 6.125
"South Hams" "83,140" 93.2 48 1.5 4.4 14.7 61.5 23.8 1.2 5.3 2.2 "94" "Devon" 50.625 18.75 6.125
"Teignbridge" "124,220" 94 47 2.5 4.8 15.3 61.4 23.4 1.3 3.9 2.2 "184" "Devon" 50.625 18.75 6.125
"Torridge" "63,839" 95.4 47 8 4.9 15.3 61.3 23.5 1 11.9 2.2 "65" "Devon" 50.625 18.75 6.125
"West Devon" "53,553" 95.2 47 9.5 4.8 15.4 61.4 23.1 1.2 13.6 2.3 "46" "Devon" 50.625 18.75 6.125
"Christchurch" "47,752" 91.9 49 6.4 4.5 14.5 55.8 29.7 1.8 2.3 2.2 "948" "Dorset" 30 11.1666666666667 3.16666666666667
"East Dorset" "87,166" 92.9 49 3.9 4.3 14.4 57.7 27.9 1.5 4.3 2.3 "246" "Dorset" 30 11.1666666666667 3.16666666666667
"North Dorset" "68,583" 99.6 44 10.6 5.3 16.7 61.8 21.6 1.1 14.7 2.3 "113" "Dorset" 30 11.1666666666667 3.16666666666667
"Purbeck" "44,973" 96 47 1.3 4.7 15 60.6 24.3 1.1 3.1 2.3 "111" "Dorset" 30 11.1666666666667 3.16666666666667
"West Dorset" "99,264" 92.6 49 7.3 4.4 14.5 59 26.5 1.5 8.3 2.2 "92" "Dorset" 30 11.1666666666667 3.16666666666667
"Weymouth and Portland" "65,167" 99.1 44 2.1 5.1 15.6 63.6 20.9 1 5.7 2.2 "1,560" "Dorset" 30 11.1666666666667 3.16666666666667
"Cheltenham" "115,732" 95.4 38 5.2 5.6 15.9 67.4 16.7 1 6.1 2.2 "2,482" "Gloucestershire" 49.5 17 4.16666666666667
"Cotswold" "82,881" 93.8 46 3.1 4.7 15.4 62.2 22.3 1.2 6.6 2.2 "71" "Gloucestershire" 49.5 17 4.16666666666667
"Forest of Dean" "81,961" 96.6 45 2.3 4.9 15.8 63.5 20.7 0.9 3.5 2.3 "156" "Gloucestershire" 49.5 17 4.16666666666667
"Gloucester" "121,688" 97.6 38 10.7 6.8 18.6 66.6 14.8 0.6 9.5 2.4 "3,001" "Gloucestershire" 49.5 17 4.16666666666667
"Stroud" "112,779" 96.9 44 4.3 5.4 16.9 63.6 19.5 0.9 6.2 2.3 "245" "Gloucestershire" 49.5 17 4.16666666666667
"Tewkesbury" "81,943" 95.7 44 7.1 5.6 16.6 63.2 20.1 0.9 9.8 2.3 "198" "Gloucestershire" 49.5 17 4.16666666666667
"Mendip" "109,279" 95.5 43 5.1 5.4 17.2 63.3 19.5 1 7.3 2.3 "148" "Somerset" 52.4 14.6 6.4
"Sedgemoor" "114,588" 95.7 44 8.1 5.5 16.7 62.8 20.5 1 8.4 2.3 "203" "Somerset" 52.4 14.6 6.4
"South Somerset" "161,243" 96.3 44 6.7 5.4 16.5 61.9 21.6 1.1 8.6 2.3 "168" "Somerset" 52.4 14.6 6.4
"Taunton Deane" "110,187" 93.6 43 7.4 5.7 16.8 63.2 20 1.2 6.6 2.3 "238" "Somerset" 52.4 14.6 6.4
"West Somerset" "34,675" 91.6 51 -1.2 4.2 12.9 58.1 29.1 1.5 -2.4 2.1 "48" "Somerset" 52.4 14.6 6.4
