"Local.authority" "Usual.residents.2011" "Sex.ratio.2011" "Median.age.2011" "Percentage.change.in.usual.residents.2011" "Percentage.of.population.aged.0.4.2011" "Percentage.of.population.aged.0.14.2011" "Percentage.of.population.aged.15.64.2011" "Percentage.of.population.aged.65.and.over.2011" "Percentage.of.population.aged.90.and.over.2011" "Percentage.change.in.households.2011" "Average.household.size..persons..2011" "Population.density..km2..2011"
"Eastleigh" "125,199" 96.2 41 7.7 6.2 17.7 65.7 16.6 0.8 11 2.4 "1,570"
"Fareham" "111,581" 95.9 44 3.1 5 16.2 63.4 20.4 0.9 5.9 2.4 "1,503"
"Gosport" "82,622" 97.3 40 7.7 6.6 18.3 64.7 17.1 0.8 14.3 2.3 "3,267"
"Hart" "91,033" 98.5 41 8.9 6.2 18.9 64.6 16.5 0.7 7.6 2.5 "423"
"Havant" "120,684" 94.4 44 3.2 5.6 16.8 62.1 21.1 1 4.7 2.3 "2,179"
"New Forest" "176,462" 92.5 47 4.1 4.9 15.2 59.8 25 1.5 6.7 2.3 "234"
"Rushmoor" "93,807" 99.4 36 3.2 7.2 18.9 68.9 12.2 0.6 3.8 2.5 "2,403"
"Test Valley" "116,398" 95.6 43 5.8 5.8 17.5 64.1 18.4 0.9 8.2 2.4 "185"
"Winchester" "116,595" 94.4 42 8.7 5.6 17.2 64.1 18.7 1 9 2.4 "176"
"Ashford" "117,956" 94.2 40 14.5 6.6 19.5 63.6 16.9 0.8 13.8 2.4 "203"
"Canterbury" "151,145" 92.5 39 11.6 5 15.5 65.7 18.8 1.1 8.5 2.3 "489"
"Dartford" "97,365" 97.5 37 13.2 6.9 19.2 66.5 14.3 0.7 14.5 2.4 "1,338"
"Dover" "111,674" 96.2 44 6.8 5.6 16.8 63 20.2 1 9.8 2.3 "354"
"Gravesham" "101,720" 97.2 39 6.2 6.5 19.1 64.9 16 0.7 6.4 2.5 "1,027"
"Maidstone" "155,143" 97.3 41 11.5 6.2 17.9 65 17.1 0.8 11.3 2.4 "394"
"Sevenoaks" "114,893" 94.2 43 5.2 6.1 18.3 62.9 18.9 0.9 6.9 2.4 "311"
"Shepway" "107,969" 96.9 43 12.1 5.6 16.6 62.7 20.8 1.2 15.6 2.2 "303"
"Swale" "135,835" 97.8 40 10.3 6.4 18.8 64.6 16.7 0.7 13.4 2.4 "364"
"Thanet" "134,186" 92.7 43 5.8 6 17.8 61 21.2 1.2 8.2 2.2 "1,299"
"Tonbridge and Malling" "120,805" 96.1 41 12.1 6.2 19.3 63.8 16.9 0.7 12 2.5 "503"
"Tunbridge Wells" "115,049" 96.5 40 10.6 6.4 19.1 64.3 16.6 1 9.7 2.4 "347"
"Cherwell" "141,868" 97.7 39 7.5 6.9 18.8 65.9 15.3 0.7 7 2.4 "241"
"Oxford" "151,906" 98.4 29 12.1 6.1 15.6 73.4 11 0.6 6.5 2.4 "3,331"
"South Oxfordshire" "134,257" 96.7 42 4.6 6.1 18.1 63.8 18.2 0.9 4 2.4 "198"
"Vale of White Horse" "120,988" 98.6 41 4.5 6.1 17.8 64.2 18 0.9 7.4 2.4 "209"
"West Oxfordshire" "104,779" 96.5 42 9.5 6.1 17.3 64.3 18.4 0.9 10.9 2.4 "147"
"Elmbridge" "130,875" 94.1 40 6.7 7.2 20.1 63.5 16.4 1 3.8 2.4 "1,377"
"Epsom and Ewell" "75,102" 94.1 40 11.9 6.2 18.3 64.9 16.7 0.9 10.3 2.5 "2,204"
"Guildford" "137,183" 98.1 38 5.7 5.9 16.8 67.6 15.6 0.9 3.8 2.4 "506"
"Mole Valley" "85,375" 95.7 44 6.3 5.4 17.2 62.1 20.7 1.1 5.4 2.3 "330"
"Reigate and Banstead" "137,835" 95.8 40 8.8 6.6 18.5 65 16.5 1 6.6 2.4 "1,067"
"Runnymede" "80,510" 94.6 39 3.1 6 16.2 67.1 16.7 0.9 2.2 2.4 "1,032"
"Spelthorne" "95,598" 96.9 41 5.8 6.3 17.1 65.4 17.4 0.8 4 2.4 "2,130"
"Surrey Heath" "86,144" 99.1 41 7.3 6 18.3 65 16.7 0.7 4.8 2.5 "906"
"Tandridge" "82,998" 93.7 43 4.7 5.9 18.1 63.4 18.5 1.1 4.2 2.4 "334"
"Waverley" "121,572" 95.3 42 5.1 6 18.4 62 19.6 1.2 4.9 2.4 "352"
"Woking" "99,198" 98.2 38 10.3 7.3 19 66 15 0.8 6.7 2.5 "1,560"
"Adur" "61,182" 93.2 44 2.5 5.8 16.1 62 22 1.1 3.7 2.2 "1,463"
"Arun" "149,518" 91.2 47 6 4.9 14.6 59.1 26.3 1.6 5.9 2.2 "677"
"Chichester" "113,794" 91.6 46 6.8 5 15.3 60.2 24.5 1.3 8.4 2.2 "145"
"Crawley" "106,597" 97.8 35 6.2 7.6 19.5 67.9 12.6 0.6 6.8 2.5 "2,370"
"Horsham" "131,301" 94.5 44 7.4 5.4 17.4 63.1 19.5 1 9.8 2.3 "248"
"Mid Sussex" "139,860" 95.9 42 9.8 6 18.1 63.8 18.1 1.1 10.4 2.4 "419"
"Worthing" "104,640" 92.9 42 7.1 6.1 16.7 62.7 20.6 1.5 6.9 2.2 "3,221"
"Bath and North East Somerset UA" "176,016" 95.7 40 4 5.2 15.6 66.3 18.1 0.9 3.5 2.3 "509"
"Bristol, City of UA" "428,234" 99 33 9.8 6.9 17.3 69.6 13 0.7 10.8 2.3 "3,907"
"North Somerset UA" "202,566" 94.6 44 7.3 5.8 16.9 62 21 1.2 10.3 2.3 "542"
"South Gloucestershire UA" "262,767" 98.5 40 6.8 6.1 17.7 65.4 16.9 0.7 8.6 2.4 "529"
"Plymouth UA" "256,384" 97.7 38 6.4 6 16.4 67.4 16.3 0.8 6.1 2.3 "3,214"
"Torbay UA" "130,959" 93 46 0.7 5.1 15.3 61.1 23.6 1.4 1.7 2.2 "2,082"
"Bournemouth UA" "183,491" 99.2 38 12.2 5.6 14.5 67.9 17.6 1.3 14.4 2.2 "3,974"
"Poole UA" "147,645" 95.5 42 6.7 5.7 16.2 63.3 20.4 1.2 7.7 2.3 "2,280"
"Swindon UA" "209,156" 100.1 38 16.1 6.7 18.5 67.7 13.8 0.6 17.8 2.4 "909"
"Cornwall UA" "532,273" 93.9 45 6.5 5.1 15.7 62.7 21.7 1 7.2 2.3 "150"
"Isles of Scilly UA" "2,203" 100.1 46 4.9 4.8 14.7 62.3 23 1.5 -1.1 2.1 "135"
"Wiltshire UA" "470,981" 96.9 42 8.6 6 18 63.8 18.2 0.9 9.7 2.4 "145"
"East Devon" "132,457" 91.6 49 5.4 4.4 14.3 57.5 28.2 1.7 7.4 2.2 "163"
"Exeter" "117,773" 94.5 35 5.9 5.7 15 69.5 15.5 0.9 4.8 2.3 "2,504"
"Mid Devon" "77,750" 95.9 44 11.2 5.8 17.3 62.3 20.4 1 13 2.3 "85"
"North Devon" "93,667" 94.7 45 6.8 5.4 16.1 61.7 22.2 1.2 8.1 2.3 "86"
"South Hams" "83,140" 93.2 48 1.5 4.4 14.7 61.5 23.8 1.2 5.3 2.2 "94"
"Teignbridge" "124,220" 94 47 2.5 4.8 15.3 61.4 23.4 1.3 3.9 2.2 "184"
"Torridge" "63,839" 95.4 47 8 4.9 15.3 61.3 23.5 1 11.9 2.2 "65"
"West Devon" "53,553" 95.2 47 9.5 4.8 15.4 61.4 23.1 1.2 13.6 2.3 "46"
"Christchurch" "47,752" 91.9 49 6.4 4.5 14.5 55.8 29.7 1.8 2.3 2.2 "948"
"East Dorset" "87,166" 92.9 49 3.9 4.3 14.4 57.7 27.9 1.5 4.3 2.3 "246"
"North Dorset" "68,583" 99.6 44 10.6 5.3 16.7 61.8 21.6 1.1 14.7 2.3 "113"
"Purbeck" "44,973" 96 47 1.3 4.7 15 60.6 24.3 1.1 3.1 2.3 "111"
"West Dorset" "99,264" 92.6 49 7.3 4.4 14.5 59 26.5 1.5 8.3 2.2 "92"
"Weymouth and Portland" "65,167" 99.1 44 2.1 5.1 15.6 63.6 20.9 1 5.7 2.2 "1,560"
"Cheltenham" "115,732" 95.4 38 5.2 5.6 15.9 67.4 16.7 1 6.1 2.2 "2,482"
"Cotswold" "82,881" 93.8 46 3.1 4.7 15.4 62.2 22.3 1.2 6.6 2.2 "71"
"Forest of Dean" "81,961" 96.6 45 2.3 4.9 15.8 63.5 20.7 0.9 3.5 2.3 "156"
"Gloucester" "121,688" 97.6 38 10.7 6.8 18.6 66.6 14.8 0.6 9.5 2.4 "3,001"
"Stroud" "112,779" 96.9 44 4.3 5.4 16.9 63.6 19.5 0.9 6.2 2.3 "245"
"Tewkesbury" "81,943" 95.7 44 7.1 5.6 16.6 63.2 20.1 0.9 9.8 2.3 "198"
"Mendip" "109,279" 95.5 43 5.1 5.4 17.2 63.3 19.5 1 7.3 2.3 "148"
"Sedgemoor" "114,588" 95.7 44 8.1 5.5 16.7 62.8 20.5 1 8.4 2.3 "203"
"South Somerset" "161,243" 96.3 44 6.7 5.4 16.5 61.9 21.6 1.1 8.6 2.3 "168"
"Taunton Deane" "110,187" 93.6 43 7.4 5.7 16.8 63.2 20 1.2 6.6 2.3 "238"
"West Somerset" "34,675" 91.6 51 -1.2 4.2 12.9 58.1 29.1 1.5 -2.4 2.1 "48"
