OrganisationID	OrganisationCode	OrganisationName	MetricName	Value	Text,
979124	00AQ	London Borough of Harrow	The proportion of people aged 65 and over who use social care services who feel safe	56.90%	Below average - 56.90%% of users of social care services felt safe,
979124	00AQ	London Borough of Harrow	User satisfaction	53	53 of users are satisfied with their care and support Below average,
979124	00AQ	London Borough of Harrow	Users' quality of life	18.2	18.2 out of 24 Below average,
979126	00EB	Hartlepool Borough Council	Carer satisfaction	65.4%	65.4% of carers are satisfied with their care and support Above average,
979126	00EB	Hartlepool Borough Council	Carer's quality of life	9.3	9.3 out of 12 Above average,
979126	00EB	Hartlepool Borough Council	Permanent admissions to care homes: younger adults	23.3	23.3 admissions per 100,000 younger adults In the highest 20%
979126	00EB	Hartlepool Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	65.80%	Around average - 65.80%% of users of social care services felt safe,
979126	00EB	Hartlepool Borough Council	User satisfaction	73.1	73.1 of users are satisfied with their care and support Above average,
979126	00EB	Hartlepool Borough Council	Users' quality of life	19.2	19.2 out of 24 Average,
979129	00AR	London Borough of Havering	Carer satisfaction	41.9%	41.9% of carers are satisfied with their care and support Around average,
979129	00AR	London Borough of Havering	Carer's quality of life	8.4	8.4 out of 12 Around average,
979129	00AR	London Borough of Havering	Permanent admissions to care homes: younger adults	9.6	9.6 admissions per 100,000 younger adults In the middle 60%
979129	00AR	London Borough of Havering	The proportion of people aged 65 and over who use social care services who feel safe	77.50%	Above average - 77.50%% of users of social care services felt safe,
979129	00AR	London Borough of Havering	User satisfaction	63.7	63.7 of users are satisfied with their care and support Around average,
979129	00AR	London Borough of Havering	Users' quality of life	18.6	18.6 out of 24 Average,
979130	00GA	Herefordshire Council	Carer satisfaction	42.4%	42.4% of carers are satisfied with their care and support Around average,
979130	00GA	Herefordshire Council	Carer's quality of life	7.4	7.4 out of 12 Below average,
979130	00GA	Herefordshire Council	Permanent admissions to care homes: younger adults	20.4	20.4 admissions per 100,000 younger adults In the highest 20%
979130	00GA	Herefordshire Council	The proportion of people aged 65 and over who use social care services who feel safe	67.10%	Around average - 67.10%% of users of social care services felt safe,
979130	00GA	Herefordshire Council	User satisfaction	65.1	65.1 of users are satisfied with their care and support Around average,
979130	00GA	Herefordshire Council	Users' quality of life	19.1	19.1 out of 24 Average,
979131	26	Hertfordshire County Council	Carer satisfaction	41.9%	41.9% of carers are satisfied with their care and support Around average,
979131	26	Hertfordshire County Council	Carer's quality of life	8	8 out of 12 Around average,
979131	26	Hertfordshire County Council	Permanent admissions to care homes: younger adults	15.7	15.7 admissions per 100,000 younger adults In the middle 60%
979131	26	Hertfordshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	61.10%	Around average - 61.10%% of users of social care services felt safe,
979131	26	Hertfordshire County Council	User satisfaction	60.2	60.2 of users are satisfied with their care and support Around average,
979131	26	Hertfordshire County Council	Users' quality of life	18.7	18.7 out of 24 Average,
979134	00AS	London Borough of Hillingdon	Carer satisfaction	34.0%	34.0% of carers are satisfied with their care and support Below average,
979134	00AS	London Borough of Hillingdon	Carer's quality of life	7.6	7.6 out of 12 Below average,
979134	00AS	London Borough of Hillingdon	Permanent admissions to care homes: younger adults	13.2	13.2 admissions per 100,000 younger adults In the middle 60%
979134	00AS	London Borough of Hillingdon	The proportion of people aged 65 and over who use social care services who feel safe	62.20%	Around average - 62.20%% of users of social care services felt safe,
979134	00AS	London Borough of Hillingdon	User satisfaction	58.6	58.6 of users are satisfied with their care and support Below average,
979134	00AS	London Borough of Hillingdon	Users' quality of life	18.6	18.6 out of 24 Below average,
979137	00AT	London Borough of Hounslow	Carer satisfaction	33.3%	33.3% of carers are satisfied with their care and support Below average,
979137	00AT	London Borough of Hounslow	Carer's quality of life	7.2	7.2 out of 12 Below average,
979137	00AT	London Borough of Hounslow	Permanent admissions to care homes: younger adults	9.2	9.2 admissions per 100,000 younger adults In the lowest 20%
979137	00AT	London Borough of Hounslow	The proportion of people aged 65 and over who use social care services who feel safe	58.50%	Below average - 58.50%% of users of social care services felt safe,
979137	00AT	London Borough of Hounslow	User satisfaction	56.1	56.1 of users are satisfied with their care and support Below average,
979137	00AT	London Borough of Hounslow	Users' quality of life	17.8	17.8 out of 24 Below average,
979141	00MW	Isle of Wight Council	Carer satisfaction	48.8%	48.8% of carers are satisfied with their care and support Above average,
979141	00MW	Isle of Wight Council	Carer's quality of life	8.6	8.6 out of 12 Above average,
979141	00MW	Isle of Wight Council	Permanent admissions to care homes: younger adults	34.9	34.9 admissions per 100,000 younger adults In the highest 20%
979141	00MW	Isle of Wight Council	The proportion of people aged 65 and over who use social care services who feel safe	74.40%	Above average - 74.40%% of users of social care services felt safe,
979141	00MW	Isle of Wight Council	User satisfaction	68.1	68.1 of users are satisfied with their care and support Around average,
979141	00MW	Isle of Wight Council	Users' quality of life	19.7	19.7 out of 24 Above average,
979142	00HF	Isles of Scilly	Carer satisfaction	42.9%	42.9% of carers are satisfied with their care and support Around average,
979142	00HF	Isles of Scilly	Carer's quality of life	9.8	9.8 out of 12 Above average,
979143	00AU	London Borough of Islington	Carer satisfaction	32.3%	32.3% of carers are satisfied with their care and support Below average,
979143	00AU	London Borough of Islington	Carer's quality of life	7.1	7.1 out of 12 Below average,
979143	00AU	London Borough of Islington	Permanent admissions to care homes: younger adults	12.6	12.6 admissions per 100,000 younger adults In the middle 60%
979143	00AU	London Borough of Islington	The proportion of people aged 65 and over who use social care services who feel safe	59.70%	Below average - 59.70%% of users of social care services felt safe,
979143	00AU	London Borough of Islington	User satisfaction	60	60 of users are satisfied with their care and support Below average,
979143	00AU	London Borough of Islington	Users' quality of life	18.4	18.4 out of 24 Below average,
979144	00AW	Royal Borough of Kensington and Chelsea	Carer satisfaction	46.3%	46.3% of carers are satisfied with their care and support Around average,
979144	00AW	Royal Borough of Kensington and Chelsea	Carer's quality of life	7.7	7.7 out of 12 Around average,
979144	00AW	Royal Borough of Kensington and Chelsea	Permanent admissions to care homes: younger adults	8.4	8.4 admissions per 100,000 younger adults In the lowest 20%
979144	00AW	Royal Borough of Kensington and Chelsea	The proportion of people aged 65 and over who use social care services who feel safe	57.50%	Below average - 57.50%% of users of social care services felt safe,
979144	00AW	Royal Borough of Kensington and Chelsea	User satisfaction	66	66 of users are satisfied with their care and support Around average,
979144	00AW	Royal Borough of Kensington and Chelsea	Users' quality of life	18.3	18.3 out of 24 Below average,
979145	29	Kent County Council	Carer satisfaction	42.1%	42.1% of carers are satisfied with their care and support Around average,
979145	29	Kent County Council	Carer's quality of life	7.8	7.8 out of 12 Below average,
979145	29	Kent County Council	Permanent admissions to care homes: younger adults	15.7	15.7 admissions per 100,000 younger adults In the middle 60%
979145	29	Kent County Council	The proportion of people aged 65 and over who use social care services who feel safe	64.80%	Around average - 64.80%% of users of social care services felt safe,
979145	29	Kent County Council	User satisfaction	65.6	65.6 of users are satisfied with their care and support Around average,
979145	29	Kent County Council	Users' quality of life	19	19 out of 24 Average,
979148	00FA	Kingston-upon-Hull City Council	Carer satisfaction	47.2%	47.2% of carers are satisfied with their care and support Around average,
979148	00FA	Kingston-upon-Hull City Council	Carer's quality of life	8	8 out of 12 Around average,
979148	00FA	Kingston-upon-Hull City Council	Permanent admissions to care homes: younger adults	19.4	19.4 admissions per 100,000 younger adults In the highest 20%
979148	00FA	Kingston-upon-Hull City Council	The proportion of people aged 65 and over who use social care services who feel safe	66%	Around average - 66%% of users of social care services felt safe,
979148	00FA	Kingston-upon-Hull City Council	User satisfaction	71.9	71.9 of users are satisfied with their care and support Above average,
979148	00FA	Kingston-upon-Hull City Council	Users' quality of life	19.3	19.3 out of 24 Average,
979149	00CZ	Kirklees Council	Carer satisfaction	39.8%	39.8% of carers are satisfied with their care and support Around average,
979149	00CZ	Kirklees Council	Carer's quality of life	7.9	7.9 out of 12 Around average,
979149	00CZ	Kirklees Council	Permanent admissions to care homes: younger adults	10.4	10.4 admissions per 100,000 younger adults In the middle 60%
979149	00CZ	Kirklees Council	The proportion of people aged 65 and over who use social care services who feel safe	62.60%	Around average - 62.60%% of users of social care services felt safe,
979149	00CZ	Kirklees Council	User satisfaction	59.7	59.7 of users are satisfied with their care and support Below average,
979149	00CZ	Kirklees Council	Users' quality of life	18.8	18.8 out of 24 Average,
979150	00BX	Knowsley Metropolitan Borough Council	Carer satisfaction	40.9%	40.9% of carers are satisfied with their care and support Around average,
979150	00BX	Knowsley Metropolitan Borough Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979150	00BX	Knowsley Metropolitan Borough Council	Permanent admissions to care homes: younger adults	16.7	16.7 admissions per 100,000 younger adults In the middle 60%
979150	00BX	Knowsley Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	69.20%	Around average - 69.20%% of users of social care services felt safe,
979150	00BX	Knowsley Metropolitan Borough Council	User satisfaction	65.6	65.6 of users are satisfied with their care and support Around average,
979150	00BX	Knowsley Metropolitan Borough Council	Users' quality of life	19.3	19.3 out of 24 Average,
979151	00AY	London Borough of Lambeth	Carer satisfaction	26.9%	26.9% of carers are satisfied with their care and support Below average,
979151	00AY	London Borough of Lambeth	Carer's quality of life	7.8	7.8 out of 12 Around average,
979151	00AY	London Borough of Lambeth	Permanent admissions to care homes: younger adults	11	11 admissions per 100,000 younger adults In the middle 60%
979151	00AY	London Borough of Lambeth	The proportion of people aged 65 and over who use social care services who feel safe	61.70%	Around average - 61.70%% of users of social care services felt safe,
979151	00AY	London Borough of Lambeth	User satisfaction	55.9	55.9 of users are satisfied with their care and support Below average,
979151	00AY	London Borough of Lambeth	Users' quality of life	18.1	18.1 out of 24 Below average,
979152	30	Lancashire County Council	Carer satisfaction	41.8%	41.8% of carers are satisfied with their care and support Around average,
979152	30	Lancashire County Council	Carer's quality of life	7.9	7.9 out of 12 Around average,
979152	30	Lancashire County Council	Permanent admissions to care homes: younger adults	17.1	17.1 admissions per 100,000 younger adults In the middle 60%
979152	30	Lancashire County Council	The proportion of people aged 65 and over who use social care services who feel safe	64.30%	Around average - 64.30%% of users of social care services felt safe,
979152	30	Lancashire County Council	User satisfaction	64.9	64.9 of users are satisfied with their care and support Around average,
979152	30	Lancashire County Council	Users' quality of life	19.1	19.1 out of 24 Average,
979154	00DA	Leeds City Council	Carer satisfaction	39.2%	39.2% of carers are satisfied with their care and support Around average,
979154	00DA	Leeds City Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979154	00DA	Leeds City Council	Permanent admissions to care homes: younger adults	12.5	12.5 admissions per 100,000 younger adults In the middle 60%
979154	00DA	Leeds City Council	The proportion of people aged 65 and over who use social care services who feel safe	78.10%	Above average - 78.10%% of users of social care services felt safe,
979154	00DA	Leeds City Council	User satisfaction	69.2	69.2 of users are satisfied with their care and support Around average,
979154	00DA	Leeds City Council	Users' quality of life	18.8	18.8 out of 24 Average,
979155	00FN	Leicester City Council	Carer satisfaction	37.9%	37.9% of carers are satisfied with their care and support Around average,
979155	00FN	Leicester City Council	Carer's quality of life	7.1	7.1 out of 12 Below average,
979155	00FN	Leicester City Council	Permanent admissions to care homes: younger adults	12.5	12.5 admissions per 100,000 younger adults In the middle 60%
979155	00FN	Leicester City Council	The proportion of people aged 65 and over who use social care services who feel safe	61.70%	Below average - 61.70%% of users of social care services felt safe,
979155	00FN	Leicester City Council	User satisfaction	62.2	62.2 of users are satisfied with their care and support Around average,
979155	00FN	Leicester City Council	Users' quality of life	18.3	18.3 out of 24 Below average,
979156	31	Leicestershire County Council	Carer satisfaction	43.3%	43.3% of carers are satisfied with their care and support Around average,
979156	31	Leicestershire County Council	Carer's quality of life	7.9	7.9 out of 12 Around average,
979156	31	Leicestershire County Council	Permanent admissions to care homes: younger adults	12	12 admissions per 100,000 younger adults In the middle 60%
979156	31	Leicestershire County Council	The proportion of people aged 65 and over who use social care services who feel safe	67.30%	Around average - 67.30%% of users of social care services felt safe,
979156	31	Leicestershire County Council	User satisfaction	60.1	60.1 of users are satisfied with their care and support Around average,
979156	31	Leicestershire County Council	Users' quality of life	19	19 out of 24 Average,
979158	00AZ	London Borough of Lewisham	Carer satisfaction	33.5%	33.5% of carers are satisfied with their care and support Below average,
979158	00AZ	London Borough of Lewisham	Carer's quality of life	7.6	7.6 out of 12 Below average,
979158	00AZ	London Borough of Lewisham	Permanent admissions to care homes: younger adults	13.4	13.4 admissions per 100,000 younger adults In the middle 60%
979158	00AZ	London Borough of Lewisham	The proportion of people aged 65 and over who use social care services who feel safe	64.50%	Around average - 64.50%% of users of social care services felt safe,
979158	00AZ	London Borough of Lewisham	User satisfaction	63.5	63.5 of users are satisfied with their care and support Around average,
979158	00AZ	London Borough of Lewisham	Users' quality of life	18.6	18.6 out of 24 Below average,
979161	32	Lincolnshire County Council	Carer satisfaction	40.8%	40.8% of carers are satisfied with their care and support Around average,
979161	32	Lincolnshire County Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979161	32	Lincolnshire County Council	Permanent admissions to care homes: younger adults	15.3	15.3 admissions per 100,000 younger adults In the middle 60%
979161	32	Lincolnshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	62.80%	Around average - 62.80%% of users of social care services felt safe,
979161	32	Lincolnshire County Council	User satisfaction	62.4	62.4 of users are satisfied with their care and support Around average,
979161	32	Lincolnshire County Council	Users' quality of life	18.7	18.7 out of 24 Average,
979162	00BY	Liverpool City Council	Carer satisfaction	33.7%	33.7% of carers are satisfied with their care and support Below average,
979162	00BY	Liverpool City Council	Carer's quality of life	6.9	6.9 out of 12 Below average,
979162	00BY	Liverpool City Council	Permanent admissions to care homes: younger adults	13.1	13.1 admissions per 100,000 younger adults In the middle 60%
979162	00BY	Liverpool City Council	The proportion of people aged 65 and over who use social care services who feel safe	70.40%	Above average - 70.40%% of users of social care services felt safe,
979162	00BY	Liverpool City Council	User satisfaction	61.6	61.6 of users are satisfied with their care and support Around average,
979162	00BY	Liverpool City Council	Users' quality of life	19	19 out of 24 Average,
979163	00KA	Luton Borough Council	Carer satisfaction	36.6%	36.6% of carers are satisfied with their care and support Below average,
979163	00KA	Luton Borough Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979163	00KA	Luton Borough Council	Permanent admissions to care homes: younger adults	13.9	13.9 admissions per 100,000 younger adults In the middle 60%
979163	00KA	Luton Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	65.90%	Around average - 65.90%% of users of social care services felt safe,
979163	00KA	Luton Borough Council	User satisfaction	54.7	54.7 of users are satisfied with their care and support Below average,
979163	00KA	Luton Borough Council	Users' quality of life	18.9	18.9 out of 24 Average,
979167	00BN	Manchester City Council	Carer satisfaction	43.1%	43.1% of carers are satisfied with their care and support Around average,
979167	00BN	Manchester City Council	Carer's quality of life	8	8 out of 12 Around average,
979167	00BN	Manchester City Council	Permanent admissions to care homes: younger adults	12.2	12.2 admissions per 100,000 younger adults In the middle 60%
979167	00BN	Manchester City Council	The proportion of people aged 65 and over who use social care services who feel safe	60.50%	Below average - 60.50%% of users of social care services felt safe,
979167	00BN	Manchester City Council	User satisfaction	60.7	60.7 of users are satisfied with their care and support Around average,
979167	00BN	Manchester City Council	Users' quality of life	18.4	18.4 out of 24 Below average,
979169	00LC	Medway Council	Carer satisfaction	43.7%	43.7% of carers are satisfied with their care and support Around average,
979169	00LC	Medway Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979169	00LC	Medway Council	Permanent admissions to care homes: younger adults	11.3	11.3 admissions per 100,000 younger adults In the middle 60%
979169	00LC	Medway Council	The proportion of people aged 65 and over who use social care services who feel safe	64.10%	Around average - 64.10%% of users of social care services felt safe,
979169	00LC	Medway Council	User satisfaction	63.8	63.8 of users are satisfied with their care and support Around average,
979169	00LC	Medway Council	Users' quality of life	18.8	18.8 out of 24 Average,
979172	00BA	London Borough of Merton	Carer satisfaction	36.5%	36.5% of carers are satisfied with their care and support Below average,
979172	00BA	London Borough of Merton	Carer's quality of life	7.8	7.8 out of 12 Around average,
979172	00BA	London Borough of Merton	Permanent admissions to care homes: younger adults	7.5	7.5 admissions per 100,000 younger adults In the lowest 20%
979172	00BA	London Borough of Merton	The proportion of people aged 65 and over who use social care services who feel safe	68.60%	Around average - 68.60%% of users of social care services felt safe,
979172	00BA	London Borough of Merton	User satisfaction	63.3	63.3 of users are satisfied with their care and support Around average,
979172	00BA	London Borough of Merton	Users' quality of life	18.8	18.8 out of 24 Average,
979176	00MG	Milton Keynes	Carer satisfaction	48.8%	48.8% of carers are satisfied with their care and support Around average,
979176	00MG	Milton Keynes	Carer's quality of life	7.6	7.6 out of 12 Below average,
979176	00MG	Milton Keynes	Permanent admissions to care homes: younger adults	7.5	7.5 admissions per 100,000 younger adults In the lowest 20%
979176	00MG	Milton Keynes	The proportion of people aged 65 and over who use social care services who feel safe	66.60%	Around average - 66.60%% of users of social care services felt safe,
979176	00MG	Milton Keynes	User satisfaction	61.3	61.3 of users are satisfied with their care and support Around average,
979176	00MG	Milton Keynes	Users' quality of life	18.9	18.9 out of 24 Average,
979180	00CJ	Newcastle-upon-Tyne City Council	Carer satisfaction	53.2%	53.2% of carers are satisfied with their care and support Above average,
979180	00CJ	Newcastle-upon-Tyne City Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979180	00CJ	Newcastle-upon-Tyne City Council	Permanent admissions to care homes: younger adults	17.8	17.8 admissions per 100,000 younger adults In the highest 20%
979180	00CJ	Newcastle-upon-Tyne City Council	The proportion of people aged 65 and over who use social care services who feel safe	69.40%	Around average - 69.40%% of users of social care services felt safe,
979180	00CJ	Newcastle-upon-Tyne City Council	User satisfaction	64.3	64.3 of users are satisfied with their care and support Around average,
979180	00CJ	Newcastle-upon-Tyne City Council	Users' quality of life	19.3	19.3 out of 24 Average,
979181	00BB	London Borough of Newham	Carer satisfaction	28.0%	28.0% of carers are satisfied with their care and support Below average,
979181	00BB	London Borough of Newham	Carer's quality of life	7.3	7.3 out of 12 Below average,
979181	00BB	London Borough of Newham	Permanent admissions to care homes: younger adults	6.5	6.5 admissions per 100,000 younger adults In the lowest 20%
979181	00BB	London Borough of Newham	The proportion of people aged 65 and over who use social care services who feel safe	67.80%	Around average - 67.80%% of users of social care services felt safe,
979181	00BB	London Borough of Newham	User satisfaction	59.5	59.5 of users are satisfied with their care and support Below average,
979181	00BB	London Borough of Newham	Users' quality of life	18.9	18.9 out of 24 Average,
979182	33	Norfolk County Council	Carer satisfaction	44.7%	44.7% of carers are satisfied with their care and support Around average,
979182	33	Norfolk County Council	Carer's quality of life	8.1	8.1 out of 12 Around average,
979182	33	Norfolk County Council	Permanent admissions to care homes: younger adults	44.9	44.9 admissions per 100,000 younger adults In the highest 20%
979182	33	Norfolk County Council	The proportion of people aged 65 and over who use social care services who feel safe	69.60%	Around average - 69.60%% of users of social care services felt safe,
979182	33	Norfolk County Council	User satisfaction	70.1	70.1 of users are satisfied with their care and support Above average,
979182	33	Norfolk County Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979186	00FC	North East Lincolnshire Council	Carer satisfaction	46.1%	46.1% of carers are satisfied with their care and support Around average,
979186	00FC	North East Lincolnshire Council	Carer's quality of life	8.4	8.4 out of 12 Around average,
979186	00FC	North East Lincolnshire Council	Permanent admissions to care homes: younger adults	11.5	11.5 admissions per 100,000 younger adults In the middle 60%
979186	00FC	North East Lincolnshire Council	The proportion of people aged 65 and over who use social care services who feel safe	65.20%	Around average - 65.20%% of users of social care services felt safe,
979186	00FC	North East Lincolnshire Council	User satisfaction	67.2	67.2 of users are satisfied with their care and support Around average,
979186	00FC	North East Lincolnshire Council	Users' quality of life	19.2	19.2 out of 24 Average,
979189	00FD	North Lincolnshire Council	Carer satisfaction	49.9%	49.9% of carers are satisfied with their care and support Above average,
979189	00FD	North Lincolnshire Council	Carer's quality of life	8.4	8.4 out of 12 Above average,
979189	00FD	North Lincolnshire Council	Permanent admissions to care homes: younger adults	10.9	10.9 admissions per 100,000 younger adults In the middle 60%
979189	00FD	North Lincolnshire Council	The proportion of people aged 65 and over who use social care services who feel safe	71.60%	Above average - 71.60%% of users of social care services felt safe,
979189	00FD	North Lincolnshire Council	User satisfaction	65.3	65.3 of users are satisfied with their care and support Around average,
979189	00FD	North Lincolnshire Council	Users' quality of life	19.3	19.3 out of 24 Average,
979191	00HC	North Somerset  Council	Carer satisfaction	46.2%	46.2% of carers are satisfied with their care and support Around average,
979191	00HC	North Somerset  Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979191	00HC	North Somerset  Council	Permanent admissions to care homes: younger adults	16.1	16.1 admissions per 100,000 younger adults In the middle 60%
979191	00HC	North Somerset  Council	The proportion of people aged 65 and over who use social care services who feel safe	70.80%	Above average - 70.80%% of users of social care services felt safe,
979191	00HC	North Somerset  Council	User satisfaction	72.4	72.4 of users are satisfied with their care and support Above average,
979191	00HC	North Somerset  Council	Users' quality of life	19.1	19.1 out of 24 Average,
979192	00CK	North Tyneside Metropolitan Borough Council	Carer satisfaction	41.3%	41.3% of carers are satisfied with their care and support Around average,
979192	00CK	North Tyneside Metropolitan Borough Council	Carer's quality of life	8.7	8.7 out of 12 Above average,
979192	00CK	North Tyneside Metropolitan Borough Council	Permanent admissions to care homes: younger adults	8.9	8.9 admissions per 100,000 younger adults In the lowest 20%
979192	00CK	North Tyneside Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	71.50%	Above average - 71.50%% of users of social care services felt safe,
979192	00CK	North Tyneside Metropolitan Borough Council	User satisfaction	65	65 of users are satisfied with their care and support Around average,
979192	00CK	North Tyneside Metropolitan Borough Council	Users' quality of life	19.5	19.5 out of 24 Above average,
979195	36	North Yorkshire County Council	Carer satisfaction	41.8%	41.8% of carers are satisfied with their care and support Around average,
979195	36	North Yorkshire County Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979195	36	North Yorkshire County Council	Permanent admissions to care homes: younger adults	6.6	6.6 admissions per 100,000 younger adults In the lowest 20%
979195	36	North Yorkshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	69.90%	Around average - 69.90%% of users of social care services felt safe,
979195	36	North Yorkshire County Council	User satisfaction	66.9	66.9 of users are satisfied with their care and support Around average,
979195	36	North Yorkshire County Council	Users' quality of life	18.9	18.9 out of 24 Average,
979197	34	Northamptonshire County Council	Carer satisfaction	33.8%	33.8% of carers are satisfied with their care and support Below average,
979197	34	Northamptonshire County Council	Carer's quality of life	7.7	7.7 out of 12 Below average,
979197	34	Northamptonshire County Council	Permanent admissions to care homes: younger adults	15.8	15.8 admissions per 100,000 younger adults In the middle 60%
979197	34	Northamptonshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	65%	Around average - 65%% of users of social care services felt safe,
979197	34	Northamptonshire County Council	User satisfaction	61.9	61.9 of users are satisfied with their care and support Around average,
979197	34	Northamptonshire County Council	Users' quality of life	19.1	19.1 out of 24 Average,
979198	00EM	Northumberland Council (Unitary)	Carer satisfaction	42.1%	42.1% of carers are satisfied with their care and support Around average,
979198	00EM	Northumberland Council (Unitary)	Carer's quality of life	8.5	8.5 out of 12 Above average,
979198	00EM	Northumberland Council (Unitary)	Permanent admissions to care homes: younger adults	15.6	15.6 admissions per 100,000 younger adults In the middle 60%
979198	00EM	Northumberland Council (Unitary)	The proportion of people aged 65 and over who use social care services who feel safe	69.80%	Around average - 69.80%% of users of social care services felt safe,
979198	00EM	Northumberland Council (Unitary)	User satisfaction	69.7	69.7 of users are satisfied with their care and support Above average,
979198	00EM	Northumberland Council (Unitary)	Users' quality of life	19.6	19.6 out of 24 Above average,
979200	00FY	Nottingham City Council	Carer satisfaction	40.6%	40.6% of carers are satisfied with their care and support Around average,
979200	00FY	Nottingham City Council	Carer's quality of life	7.8	7.8 out of 12 Around average,
979200	00FY	Nottingham City Council	Permanent admissions to care homes: younger adults	34.7	34.7 admissions per 100,000 younger adults In the highest 20%
979200	00FY	Nottingham City Council	The proportion of people aged 65 and over who use social care services who feel safe	64.30%	Around average - 64.30%% of users of social care services felt safe,
979200	00FY	Nottingham City Council	User satisfaction	64.5	64.5 of users are satisfied with their care and support Around average,
979200	00FY	Nottingham City Council	Users' quality of life	18.8	18.8 out of 24 Average,
979201	37	Nottinghamshire County Council	Carer satisfaction	44.8%	44.8% of carers are satisfied with their care and support Around average,
979201	37	Nottinghamshire County Council	Carer's quality of life	7.4	7.4 out of 12 Below average,
979201	37	Nottinghamshire County Council	Permanent admissions to care homes: younger adults	16.9	16.9 admissions per 100,000 younger adults In the middle 60%
979201	37	Nottinghamshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	65.90%	Around average - 65.90%% of users of social care services felt safe,
979201	37	Nottinghamshire County Council	User satisfaction	68.6	68.6 of users are satisfied with their care and support Around average,
979201	37	Nottinghamshire County Council	Users' quality of life	18.9	18.9 out of 24 Average,
979204	00BP	Oldham Metropolitan Borough Council	Carer satisfaction	42.3%	42.3% of carers are satisfied with their care and support Around average,
979204	00BP	Oldham Metropolitan Borough Council	Carer's quality of life	7.6	7.6 out of 12 Below average,
979204	00BP	Oldham Metropolitan Borough Council	Permanent admissions to care homes: younger adults	5.9	5.9 admissions per 100,000 younger adults In the lowest 20%
979204	00BP	Oldham Metropolitan Borough Council	The proportion of people aged 65 and over who use social care services who feel safe	71.80%	Above average - 71.80%% of users of social care services felt safe,
979204	00BP	Oldham Metropolitan Borough Council	User satisfaction	62.6	62.6 of users are satisfied with their care and support Around average,
979204	00BP	Oldham Metropolitan Borough Council	Users' quality of life	19.6	19.6 out of 24 Above average,
979206	38	Oxfordshire County Council	Carer satisfaction	39.2%	39.2% of carers are satisfied with their care and support Around average,
979206	38	Oxfordshire County Council	Carer's quality of life	8.2	8.2 out of 12 Around average,
979206	38	Oxfordshire County Council	Permanent admissions to care homes: younger adults	8.2	8.2 admissions per 100,000 younger adults In the lowest 20%
979206	38	Oxfordshire County Council	The proportion of people aged 65 and over who use social care services who feel safe	68.50%	Around average - 68.50%% of users of social care services felt safe,
979206	38	Oxfordshire County Council	User satisfaction	64.5	64.5 of users are satisfied with their care and support Around average,
979206	38	Oxfordshire County Council	Users' quality of life	19.3	19.3 out of 24 Average,
979208	00JA	Peterborough City Council	Carer satisfaction	42.2%	42.2% of carers are satisfied with their care and support Around average,
979208	00JA	Peterborough City Council	Carer's quality of life	8.3	8.3 out of 12 Around average,
979208	00JA	Peterborough City Council	Permanent admissions to care homes: younger adults	18.1	18.1 admissions per 100,000 younger adults In the highest 20%
979208	00JA	Peterborough City Council	The proportion of people aged 65 and over who use social care services who feel safe	64.50%	Around average - 64.50%% of users of social care services felt safe,
979208	00JA	Peterborough City Council	User satisfaction	65	65 of users are satisfied with their care and support Around average,
979208	00JA	Peterborough City Council	Users' quality of life	18.9	18.9 out of 24 Average,
979209	00HG	Plymouth City Council	Carer satisfaction	47.5%	47.5% of carers are satisfied with their care and support Around average,
979209	00HG	Plymouth City Council	Carer's quality of life	8	8 out of 12 Around average,
979209	00HG	Plymouth City Council	Permanent admissions to care homes: younger adults	15.3	15.3 admissions per 100,000 younger adults In the middle 60%
979209	00HG	Plymouth City Council	The proportion of people aged 65 and over who use social care services who feel safe	69.20%	Around average - 69.20%% of users of social care services felt safe,
979209	00HG	Plymouth City Council	User satisfaction	67.8	67.8 of users are satisfied with their care and support Around average,
979209	00HG	Plymouth City Council	Users' quality of life	19.3	19.3 out of 24 Average,
979210	00MR	Portsmouth City Council	Carer satisfaction	44.3%	44.3% of carers are satisfied with their care and support Around average,
979210	00MR	Portsmouth City Council	Carer's quality of life	8.9	8.9 out of 12 Above average,
979210	00MR	Portsmouth City Council	Permanent admissions to care homes: younger adults	19.2	19.2 admissions per 100,000 younger adults In the highest 20%
979210	00MR	Portsmouth City Council	The proportion of people aged 65 and over who use social care services who feel safe	64.50%	Around average - 64.50%% of users of social care services felt safe,
